movie_id,title,year,academy_award,won,run_time,budget,box_office,budget_currency,box_office_currency,starring
romeo-and-juliet-1936,Romeo and Juliet,1936,9,no,125,2,NA,USD,USD,"Norma Shearer, Leslie Howard, John Barrymore, Basil Rathbone, Andy Devine"
san-francisco-1936,San Francisco,1936,9,no,115,1.3,NA,USD,USD,
the-story-of-louis-pasteur-1936,The Story of Louis Pasteur,1936,9,no,87,NA,NA,USD,USD,
a-tale-of-two-cities-1936,A Tale of Two Cities,1936,9,no,123,1.232,2.3,USD,USD,
three-smart-girls-1936,Three Smart Girls,1936,9,no,84,NA,NA,USD,USD,"Barbara Read, Nan Grey, Deanna Durbin, Ray Milland"
the-life-of-emile-zola-1937,The Life of Emile Zola,1937,10,yes,116,NA,NA,USD,USD,
the-awful-truth-1937,The Awful Truth,1937,10,no,90,NA,3,USD,USD,
captains-courageous-1937,Captains Courageous,1937,10,no,115,1.645,3.133,USD,USD,
dead-end-1937,Dead End,1937,10,no,93,NA,NA,USD,USD,
the-good-earth-1937,The Good Earth,1937,10,no,138,2.816,3.557,USD,USD,
in-old-chicago-1937,In Old Chicago,1937,10,no,96,NA,2.5,USD,USD,
lost-horizon-1937,Lost Horizon,1937,10,no,133,2,NA,USD,USD,
one-hundred-men-and-a-girl-1937,One Hundred Men and a Girl,1937,10,no,85,NA,NA,USD,USD,
stage-door-1937,Stage Door,1937,10,no,NA,NA,NA,USD,USD,
a-star-is-born-1937,A Star Is Born,1937,10,no,111,1.2,2,USD,USD,"Janet Gaynor, Fredric March"
you-cant-take-it-with-you-1938,You Can't Take It with You,1938,11,yes,126,NA,NA,USD,USD,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold"
the-adventures-of-robin-hood-1938,The Adventures of Robin Hood,1938,11,no,NA,NA,NA,USD,USD,
alexanders-ragtime-band-1938,Alexander's Ragtime Band,1938,11,no,106,NA,3.6,USD,USD,
boys-town-1938,Boys Town,1938,11,no,96,0.772,4.058,USD,USD,
the-citadel-1938,The Citadel,1938,11,no,NA,NA,NA,USD,USD,
